Test 1: 10/24, 1:00AM
Hidden Layer 1: 17, Hidden Layer 2: 9, Output classes: 12, Baseline: 82.43% (32.22%)
Hidden Layer 1: 18, Hidden Layer 2: 0, Output classes: 12, Baseline: 40.23% (20.97%)
Hidden Layer 1: 18, Hidden Layer 2: 1, Output classes: 12, Baseline: 52.80% (5.53%)
Hidden Layer 1: 18, Hidden Layer 2: 2, Output classes: 12, Baseline: 97.33% (1.88%)
Hidden Layer 1: 18, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.57% (0.39%)
Hidden Layer 1: 18, Hidden Layer 2: 4, Output classes: 12, Baseline: 94.13% (9.33%)
Hidden Layer 1: 18, Hidden Layer 2: 5, Output classes: 12, Baseline: 86.90% (22.20%)
Hidden Layer 1: 18, Hidden Layer 2: 6, Output classes: 12, Baseline: 99.03% (0.50%)
Hidden Layer 1: 18, Hidden Layer 2: 7, Output classes: 12, Baseline: 67.07% (38.16%)
Hidden Layer 1: 18, Hidden Layer 2: 8, Output classes: 12, Baseline: 75.93% (27.23%)
Hidden Layer 1: 18, Hidden Layer 2: 9, Output classes: 12, Baseline: 45.40% (28.41%)
Hidden Layer 1: 19, Hidden Layer 2: 0, Output classes: 12, Baseline: 40.53% (19.09%)
Hidden Layer 1: 19, Hidden Layer 2: 1, Output classes: 12, Baseline: 81.40% (15.28%)
Hidden Layer 1: 19, Hidden Layer 2: 2, Output classes: 12, Baseline: 85.63% (16.62%)
Hidden Layer 1: 19, Hidden Layer 2: 3, Output classes: 12, Baseline: 94.27% (8.48%)
Hidden Layer 1: 19, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.47% (0.64%)
Hidden Layer 1: 19, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.67% (22.25%)
Hidden Layer 1: 19, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.83% (0.45%)
Hidden Layer 1: 19, Hidden Layer 2: 7, Output classes: 12, Baseline: 98.27% (0.54%)
Hidden Layer 1: 19, Hidden Layer 2: 8, Output classes: 12, Baseline: 74.87% (27.55%)
Hidden Layer 1: 19, Hidden Layer 2: 9, Output classes: 12, Baseline: 87.23% (22.53%)
Hidden Layer 1: 10, Hidden Layer 2: 0, Output classes: 12, Baseline: 29.63% (9.97%)
Hidden Layer 1: 10, Hidden Layer 2: 1, Output classes: 12, Baseline: 72.70% (21.08%)
Hidden Layer 1: 10, Hidden Layer 2: 2, Output classes: 12, Baseline: 94.07% (7.95%)
Hidden Layer 1: 10, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.53% (0.40%)
Hidden Layer 1: 10, Hidden Layer 2: 4, Output classes: 12, Baseline: 78.27% (30.43%)
Hidden Layer 1: 10, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.30% (22.74%)
Hidden Layer 1: 10, Hidden Layer 2: 6, Output classes: 12, Baseline: 71.63% (25.35%)
Hidden Layer 1: 10, Hidden Layer 2: 7, Output classes: 12, Baseline: 82.57% (21.91%)
Hidden Layer 1: 10, Hidden Layer 2: 8, Output classes: 12, Baseline: 72.10% (33.33%)
Hidden Layer 1: 10, Hidden Layer 2: 9, Output classes: 12, Baseline: 56.20% (27.24%)
Hidden Layer 1: 11, Hidden Layer 2: 0, Output classes: 12, Baseline: 60.03% (22.66%)
Hidden Layer 1: 11, Hidden Layer 2: 1, Output classes: 12, Baseline: 48.93% (13.66%)
Hidden Layer 1: 11, Hidden Layer 2: 2, Output classes: 12, Baseline: 81.57% (20.40%)
Hidden Layer 1: 11, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.60% (0.34%)
Hidden Layer 1: 11, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.23% (0.56%)
Hidden Layer 1: 11, Hidden Layer 2: 5, Output classes: 12, Baseline: 98.33% (0.61%)
Hidden Layer 1: 11, Hidden Layer 2: 6, Output classes: 12, Baseline: 88.00% (21.92%)
Hidden Layer 1: 11, Hidden Layer 2: 7, Output classes: 12, Baseline: 76.60% (27.37%)
Hidden Layer 1: 11, Hidden Layer 2: 8, Output classes: 12, Baseline: 64.97% (27.52%)
Hidden Layer 1: 11, Hidden Layer 2: 9, Output classes: 12, Baseline: 87.27% (22.64%)
Hidden Layer 1: 12, Hidden Layer 2: 0, Output classes: 12, Baseline: 59.83% (32.49%)
Hidden Layer 1: 12, Hidden Layer 2: 1, Output classes: 12, Baseline: 89.33% (16.84%)
